OrderID,CustomerName,PhoneNumber,Location,Country,StoreCode,Product,Quantity,Price,Date,CreditCardNumber,ExpiryDate
ORD652677846,Alex Johnson,+1-981-4092,Los Angeles,USA,STR115,Tablet,5.23,669.74,2022-03-12,2338-2418-9665-3751,03/22
ORD102574628,John Brown,+1-171-1879,Chicago,USA,STR732,Smartwatch,1.38,315.71,2022-09-28,4849-9667-9937-9172,09/28
ORD571562997,John Johnson,+1-490-1549,Chicago,USA,STR648,Smartwatch,9.03,806.16,2022-10-20,3447-9229-9075-8663,10/24
ORD665616426,Emily Johnson,+1-842-3754,Chicago,USA,STR214,Tablet,9.09,499.04,2022-08-12,3727-9185-4754-7515,10/25
ORD826549874,Michael Smith,+1-534-9547,New York,USA,STR877,Smartwatch,9.95,768.97,2022-03-13,4481-4271-5033-4381,01/26
ORD869207815,Emily Lee,+1-489-4552,Los Angeles,USA,STR499,Laptop,8.08,173.76,2022-12-29,9117-8254-1735-5012,08/25
ORD686858694,Jane Lee,+1-684-2135,Los Angeles,USA,STR426,Headphones,8.11,917.76,2022-03-19,5960-3235-5659-2104,11/25
ORD264982675,John Smith,+1-554-9362,Phoenix,USA,STR775,Tablet,2.96,818.7,2022-04-12,7143-9643-1359-2762,06/27
ORD173475385,Emily Smith,+1-991-5127,Houston,USA,STR539,Headphones,6.93,985.11,2022-01-28,8108-2063-3924-8249,03/27
ORD905380863,Michael Brown,+1-896-3189,Phoenix,USA,STR829,Headphones,9.56,21.53,2022-10-22,8437-8822-4852-2595,11/23
ORD156706444,Michael Smith,+1-211-5219,Phoenix,USA,STR614,Tablet,5.35,692.57,2022-09-20,1560-8342-4545-4846,02/24
ORD690868534,Jane Smith,+1-277-6992,Chicago,USA,STR120,Laptop,5.75,988.0,2022-04-18,5218-5962-3405-7270,05/24
ORD793455305,Michael Smith,+1-983-4736,Chicago,USA,STR763,Laptop,3.28,70.82,2022-10-25,6745-5189-1552-8199,05/23
ORD642262761,Michael Doe,+1-390-5241,Los Angeles,USA,STR866,Headphones,8.93,889.63,2022-11-14,6894-2015-5111-5230,01/23
ORD604893534,Alex Lee,+1-379-5143,Chicago,USA,STR899,Laptop,6.36,874.4,2022-04-09,4107-5446-3991-1956,06/28
ORD923001573,Michael Johnson,+1-297-9539,Houston,USA,STR582,Laptop,5.63,800.11,2022-02-10,5613-1570-5238-3633,11/24
ORD69289462,Alex Lee,+1-653-8449,New York,USA,STR410,Tablet,4.5,574.28,2022-01-17,8443-1884-7850-6839,01/22
ORD375345801,Michael Lee,+1-179-9561,Houston,USA,STR407,Headphones,9.59,826.19,2022-02-10,1408-6297-1333-2323,04/23
ORD154113768,Jane Doe,+1-105-7798,Los Angeles,USA,STR355,Smartwatch,1.12,560.83,2022-08-04,3370-5580-6900-7055,09/22
ORD440509317,John Smith,+1-325-6030,Houston,USA,STR253,Smartphone,7.16,839.53,2022-03-03,2240-9451-1712-2871,06/23
ORD403839300,John Doe,+1-445-2623,Houston,USA,STR255,Tablet,2.35,11.9,2022-12-06,3686-1729-1082-4716,11/24
ORD774504409,Jane Doe,+1-898-6651,Los Angeles,USA,STR419,Smartphone,4.97,254.55,2022-01-17,9478-4979-4145-6223,12/25
ORD154935666,Jane Doe,+1-205-7652,Los Angeles,USA,STR127,Smartwatch,3.38,896.87,2022-05-13,8857-6683-9665-6246,03/23
ORD953430067,Michael Smith,+1-832-8170,Houston,USA,STR562,Smartwatch,3.05,493.66,2022-04-03,6808-5198-2379-5050,09/25
ORD113718836,Emily Lee,+1-626-2158,Los Angeles,USA,STR473,Tablet,7.97,249.53,2022-11-10,2111-8284-2085-2712,01/26
ORD630876999,John Brown,+1-372-4349,Houston,USA,STR508,Smartwatch,6.53,724.9,2022-06-23,4912-7223-2691-8549,06/24
ORD405416649,John Lee,+1-606-4573,Los Angeles,USA,STR912,Headphones,4.97,164.55,2022-06-23,6965-3865-5090-8992,01/22
ORD563350994,Michael Doe,+1-426-7794,Los Angeles,USA,STR912,Headphones,1.07,320.77,2022-05-23,9382-4315-3528-9947,12/28
ORD452649617,Jane Brown,+1-387-2900,New York,USA,STR820,Headphones,8.84,474.68,2022-10-16,9336-3640-9704-2484,05/24
ORD338987062,Alex Lee,+1-753-8082,Chicago,USA,STR335,Headphones,1.86,271.3,2022-11-13,7779-5701-7449-1981,04/23
ORD458257767,John Smith,+1-255-9970,New York,USA,STR442,Tablet,2.85,320.35,2022-05-08,1320-2759-5089-4249,09/25
ORD102282948,John Doe,+1-280-4293,Los Angeles,USA,STR264,Smartphone,5.53,154.69,2022-01-16,2150-9501-8675-4062,06/26
ORD640937394,Alex Doe,+1-129-4614,Houston,USA,STR656,Smartwatch,2.02,937.22,2022-04-23,2617-6711-2980-7592,10/24
ORD443790272,Alex Doe,+1-950-6933,Phoenix,USA,STR590,Smartphone,2.58,163.8,2022-09-11,6404-5432-1706-2300,11/28
ORD253018178,Emily Smith,+1-222-6252,Phoenix,USA,STR725,Laptop,3.33,638.47,2022-10-26,2740-1183-6719-6648,07/22
ORD395830811,Emily Doe,+1-837-7018,Houston,USA,STR216,Laptop,3.5,885.62,2022-01-27,1497-2027-8992-3989,08/28
ORD629469259,Alex Smith,+1-662-5004,Phoenix,USA,STR724,Laptop,7.38,173.03,2022-03-14,3846-7880-4690-2404,09/26
ORD310980040,Michael Johnson,+1-765-6855,Houston,USA,STR677,Smartwatch,4.3,405.37,2022-06-05,8957-5062-3873-2268,09/24
ORD883689826,John Smith,+1-567-8387,Los Angeles,USA,STR149,Tablet,1.14,106.34,2022-08-29,5935-2393-6431-6551,04/27
ORD570037725,Jane Smith,+1-328-3811,Houston,USA,STR795,Smartphone,8.51,948.74,2022-04-29,9958-3816-4707-1109,05/27
ORD194112757,John Doe,+1-392-3387,Phoenix,USA,STR987,Smartwatch,5.51,84.36,2022-02-13,4964-6043-8155-9225,11/22
ORD655996760,Jane Doe,+1-494-9566,Chicago,USA,STR448,Smartphone,4.91,178.9,2022-04-23,5753-7532-2695-2472,08/27
ORD787071409,Alex Johnson,+1-916-1352,New York,USA,STR852,Laptop,3.12,680.88,2022-04-01,7991-8785-5376-3722,03/26
ORD471171406,Jane Brown,+1-529-9724,Los Angeles,USA,STR507,Smartwatch,8.89,888.55,2022-03-10,6246-8926-1750-1648,04/26
ORD263453488,Emily Lee,+1-283-1092,New York,USA,STR200,Smartphone,4.56,741.61,2022-11-08,7233-3526-7354-4691,05/22
ORD817649208,Michael Lee,+1-993-9598,Chicago,USA,STR434,Tablet,7.67,80.99,2022-11-14,7229-6000-3483-4251,07/27
ORD593632575,Jane Lee,+1-571-2166,Houston,USA,STR206,Tablet,9.36,509.86,2022-02-24,2035-3843-6567-7681,05/26
ORD489879110,Emily Johnson,+1-969-9741,New York,USA,STR208,Tablet,2.32,295.58,2022-07-10,6553-4520-4012-1495,03/28
ORD580820002,John Lee,+1-267-4382,New York,USA,STR941,Headphones,6.08,487.08,2022-07-07,2491-4942-2925-9499,07/23
ORD176016210,John Johnson,+1-133-4193,Phoenix,USA,STR606,Tablet,8.0,443.74,2022-10-06,5912-4742-5352-6061,08/25
ORD384292931,Jane Smith,+1-597-2377,Los Angeles,USA,STR538,Headphones,6.61,409.06,2022-03-01,2631-2411-7207-1248,12/28
ORD919946306,Alex Doe,+1-612-1666,Phoenix,USA,STR414,Laptop,3.78,936.93,2022-07-28,2843-5817-1400-3488,01/27
ORD924835400,John Doe,+1-980-8692,New York,USA,STR998,Tablet,4.82,37.51,2022-05-05,2988-1040-7476-3460,05/24
ORD126035793,Jane Smith,+1-897-2569,Los Angeles,USA,STR893,Tablet,8.8,86.44,2022-08-22,2797-3531-4178-1594,11/22
ORD694674600,Alex Smith,+1-891-7864,Phoenix,USA,STR833,Headphones,1.05,837.22,2022-09-30,2990-1592-7127-3178,06/28
ORD416997224,Jane Johnson,+1-408-7030,Houston,USA,STR244,Smartphone,8.65,571.64,2022-01-18,7254-6436-5799-5990,12/25
ORD874154924,Emily Doe,+1-661-6816,Phoenix,USA,STR735,Headphones,8.85,806.64,2022-10-15,1803-1197-9768-5466,01/22
ORD197266187,John Johnson,+1-233-3850,New York,USA,STR906,Tablet,5.96,759.86,2022-12-06,5925-8937-3334-7104,06/28
ORD165857876,John Brown,+1-294-8935,Houston,USA,STR420,Smartwatch,3.96,951.38,2022-01-01,1744-2109-3496-9349,07/27
ORD793427710,Michael Lee,+1-725-1616,Phoenix,USA,STR119,Smartwatch,8.95,239.06,2022-02-19,1504-4576-2652-4707,03/22
ORD249677111,Emily Brown,+1-421-6760,Houston,USA,STR386,Tablet,1.72,682.7,2022-02-23,3886-8526-6692-3369,10/25
ORD298351430,John Lee,+1-980-9456,Los Angeles,USA,STR410,Headphones,4.38,74.48,2022-08-05,6529-9286-9571-2340,03/26
ORD242930881,Michael Lee,+1-246-9400,Phoenix,USA,STR830,Smartphone,4.75,521.95,2022-09-08,9000-2255-9321-8207,02/25
ORD287569144,Emily Johnson,+1-836-9154,Chicago,USA,STR849,Laptop,8.14,341.35,2022-08-19,4312-5926-6153-5000,08/23
ORD768803000,John Smith,+1-710-2303,New York,USA,STR729,Headphones,4.59,548.85,2022-05-29,7410-6021-3244-5552,06/22
ORD554666633,Emily Johnson,+1-934-4549,Houston,USA,STR374,Tablet,3.39,770.31,2022-08-16,6388-1026-4775-5226,02/26
ORD560612788,Emily Johnson,+1-337-4853,New York,USA,STR611,Smartwatch,5.48,99.65,2022-06-23,1788-1127-9135-5630,04/28
ORD495441504,Michael Johnson,+1-981-3586,Houston,USA,STR872,Tablet,7.25,157.24,2022-12-27,7087-3179-6778-6249,12/28
ORD638122942,Michael Johnson,+1-169-2182,Houston,USA,STR496,Tablet,7.66,482.86,2022-07-22,4195-3844-4525-7088,10/23
ORD535096670,Alex Smith,+1-578-5673,Houston,USA,STR902,Tablet,6.99,462.03,2022-05-08,3766-8816-9952-7761,09/28
ORD422794036,Alex Johnson,+1-996-3067,Phoenix,USA,STR775,Smartwatch,7.47,559.76,2022-08-26,1566-8780-7840-9808,08/25
ORD634607092,Jane Smith,+1-971-5992,Houston,USA,STR737,Headphones,5.21,423.32,2022-08-20,4999-8262-6010-6104,03/27
ORD466983125,Michael Doe,+1-581-8808,New York,USA,STR841,Smartphone,2.87,578.49,2022-03-24,9323-8241-9012-5395,12/28
ORD85302876,Michael Doe,+1-163-7865,Chicago,USA,STR358,Laptop,8.1,553.88,2022-04-22,1924-5305-2840-1941,03/25
ORD814546736,Jane Doe,+1-303-1858,Los Angeles,USA,STR515,Headphones,1.01,607.05,2022-08-29,8367-4007-2332-6373,12/23
ORD905602125,Alex Lee,+1-444-2156,Los Angeles,USA,STR335,Laptop,9.34,82.83,2022-11-15,9185-1483-1738-8949,06/25
ORD880598688,Michael Smith,+1-404-7715,Phoenix,USA,STR453,Tablet,8.81,923.16,2022-11-24,7565-3635-5573-5356,04/28
ORD755822522,Alex Johnson,+1-107-4990,Phoenix,USA,STR471,Smartwatch,8.25,741.51,2022-12-26,3452-4170-1919-5758,06/28
ORD39161450,Michael Lee,+1-119-8929,Phoenix,USA,STR474,Tablet,6.4,64.45,2022-08-28,1408-7279-4708-6674,04/28
ORD284611953,Alex Doe,+1-863-8881,Phoenix,USA,STR258,Smartphone,7.0,883.04,2022-01-17,1502-1637-5040-9218,09/27
ORD14255601,Alex Johnson,+1-794-7989,Houston,USA,STR645,Tablet,4.52,610.47,2022-06-26,6914-5004-5381-8396,05/25
ORD639627513,John Smith,+1-227-7991,Phoenix,USA,STR153,Smartphone,3.35,843.03,2022-05-11,5983-3116-8456-7573,06/25
ORD847912420,Jane Johnson,+1-726-9654,Houston,USA,STR897,Smartwatch,5.61,268.84,2022-08-05,9554-5576-3480-1435,02/23
ORD479007420,Alex Lee,+1-898-2522,Phoenix,USA,STR769,Smartwatch,7.2,535.6,2022-02-22,9830-9330-6368-3896,09/24
ORD397616417,Emily Doe,+1-260-2089,Chicago,USA,STR699,Smartphone,2.57,933.26,2022-03-19,2329-1968-1025-2102,02/23
ORD158771959,John Smith,+1-358-6347,Houston,USA,STR181,Smartphone,4.14,941.81,2022-01-21,1654-7113-1983-9490,06/27
ORD350773750,Michael Brown,+1-441-8898,New York,USA,STR642,Headphones,5.58,737.93,2022-03-18,6405-9267-6818-1826,07/26
ORD718209066,John Smith,+1-972-3101,Phoenix,USA,STR156,Smartwatch,6.52,887.58,2022-08-13,5762-4731-1701-8925,09/26
ORD221688042,Alex Brown,+1-578-6817,Phoenix,USA,STR346,Tablet,2.13,615.65,2022-12-13,6625-4312-6913-6244,07/22
ORD914105833,Alex Doe,+1-559-8213,Chicago,USA,STR765,Smartwatch,7.74,723.51,2022-06-17,7290-7467-8765-1620,09/22
ORD804371259,Alex Doe,+1-727-3132,Los Angeles,USA,STR998,Tablet,2.24,585.91,2022-07-15,2895-8344-8125-4942,12/28
ORD988351549,Emily Smith,+1-961-9676,Phoenix,USA,STR239,Headphones,9.84,234.36,2022-02-26,5953-4282-7600-9990,01/22
