OrderID,CustomerName,PhoneNumber,Location,Country,StoreCode,Product,Quantity,Price,Date,CreditCardNumber,ExpiryDate
ORD5007,Michael Lee,+1-356-9521,Los Angeles,USA,STR470,Tablet,6.68,295.15,2022-01-05,9551-8998-6121-8852,11/26
ORD4422,Michael Lee,+1-506-2100,Chicago,USA,STR329,Tablet,3.11,245.96,2022-09-13,8987-2043-8305-1912,02/26
ORD6052,Alex Brown,+1-301-2454,New York,USA,STR266,Smartwatch,3.77,662.78,2022-07-25,3281-7331-4797-9800,03/24
ORD6986,Jane Brown,+1-144-9741,Houston,USA,STR646,Smartphone,6.91,48.26,2022-05-04,3810-3441-7915-2937,06/24
ORD7058,Emily Brown,+1-820-3424,Chicago,USA,STR933,Smartphone,8.47,223.74,2022-03-29,9609-9438-9915-7902,08/24
ORD6120,Michael Lee,+1-201-4599,Houston,USA,STR468,Laptop,8.11,729.58,2022-07-08,3997-9527-1745-3455,01/25
ORD5870,Emily Johnson,+1-872-5841,Houston,USA,STR323,Headphones,9.14,998.01,2022-09-09,7029-3840-8609-8705,04/27
ORD836,John Doe,+1-797-4030,Phoenix,USA,STR462,Headphones,3.61,238.2,2022-06-18,3458-2029-8823-4296,06/28
ORD7569,John Johnson,+1-769-7214,Los Angeles,USA,STR196,Headphones,4.73,873.39,2022-01-24,8579-8309-2128-2726,10/24
ORD9428,Emily Smith,+1-675-5099,Phoenix,USA,STR530,Tablet,2.25,553.27,2022-07-07,9636-1056-6699-2843,07/24
ORD2887,John Smith,+1-953-4388,Chicago,USA,STR967,Smartwatch,8.09,71.41,2022-09-06,1829-4500-7109-8718,08/22
ORD8668,John Smith,+1-331-8105,New York,USA,STR746,Laptop,3.03,71.72,2022-07-22,6007-2644-5116-5728,10/28
ORD285,Alex Smith,+1-664-1329,Houston,USA,STR254,Headphones,8.0,854.28,2022-05-27,7150-1604-8501-5374,08/27
ORD5516,John Lee,+1-547-5637,Houston,USA,STR457,Smartphone,1.68,682.37,2022-08-06,2008-9409-2133-2851,10/24
ORD4494,Jane Smith,+1-804-6906,New York,USA,STR870,Laptop,1.69,327.81,2022-03-15,3477-7679-1910-6545,01/26
ORD2094,Jane Johnson,+1-211-9611,Chicago,USA,STR411,Smartwatch,8.18,468.89,2022-10-05,4802-6130-7042-3868,04/24
ORD6757,Michael Brown,+1-607-4219,Chicago,USA,STR537,Headphones,3.1,69.07,2022-09-18,2105-7671-1685-6446,11/22
ORD998,John Brown,+1-742-8912,Chicago,USA,STR536,Headphones,2.0,780.83,2022-03-15,7986-7051-9865-9769,07/26
ORD8018,Alex Lee,+1-912-5378,Houston,USA,STR388,Headphones,7.42,767.24,2022-02-21,5078-4239-6095-8937,07/27
ORD1238,Michael Smith,+1-933-9751,Los Angeles,USA,STR121,Headphones,3.82,861.72,2022-04-14,6612-1399-8868-9857,11/23
ORD1677,John Brown,+1-343-9767,Los Angeles,USA,STR647,Tablet,3.36,696.07,2022-10-12,2012-3943-8950-8578,04/24
ORD5612,Alex Lee,+1-959-8619,Chicago,USA,STR827,Smartwatch,2.95,642.84,2022-07-17,1933-9534-3727-6077,03/23
ORD3170,Michael Doe,+1-511-4772,Chicago,USA,STR137,Laptop,6.82,712.14,2022-01-01,5431-4742-2323-9829,04/23
ORD8831,Emily Doe,+1-564-6087,Houston,USA,STR738,Headphones,6.92,182.39,2022-08-18,8245-7441-4825-4745,01/25
ORD8922,John Johnson,+1-926-2385,Los Angeles,USA,STR196,Laptop,4.47,354.67,2022-10-11,5671-6334-4782-8833,08/26
ORD960,Jane Johnson,+1-167-6504,New York,USA,STR511,Tablet,3.81,658.15,2022-06-09,3254-6622-1371-1817,07/25
ORD934,Alex Doe,+1-736-5529,New York,USA,STR282,Tablet,8.63,790.45,2022-01-17,6529-1131-8659-4438,04/24
ORD5995,John Lee,+1-851-1278,Los Angeles,USA,STR447,Smartwatch,9.27,669.98,2022-07-11,5883-3578-3929-9656,06/22
ORD5120,John Smith,+1-699-4959,Phoenix,USA,STR194,Smartphone,6.56,207.45,2022-03-16,3660-5765-7800-1377,07/23
ORD6708,Emily Doe,+1-550-5868,Los Angeles,USA,STR367,Laptop,4.28,45.2,2022-04-11,5673-4305-2579-1816,11/23
